user,server,ilp_user,ilp_time,greedy_user,greedy_time,rl_user,rl_time,td3_user,td3_time
500.0,50.0,121.0,0.7680568000068888,93.0,0.07361279999895487,412.0,0.0,412.0,0.016794299997854978
500.0,50.0,114.0,0.8742716999986442,88.0,0.08084889999008738,439.0,0.0,439.0,0.01725330000044778
500.0,50.0,116.0,0.9011664999998175,90.0,0.072607699999935,415.0,0.0,415.0,0.01539970000158064
500.0,50.0,112.0,0.6850223000074038,92.0,0.07381440000608563,431.0,0.0,431.0,0.017072999995434657
500.0,50.0,121.0,0.9120440999977291,87.0,0.07893930000136606,418.0,0.0,418.0,0.016189100002520718
500.0,50.0,117.0,0.9071344999974826,88.0,0.08295900000666734,461.0,0.0,461.0,0.016876800000318326
500.0,50.0,118.0,0.7051211000070907,92.0,0.07376220000151079,423.0,0.0,423.0,0.015781699999934062
500.0,50.0,106.0,0.8829986000055214,91.0,0.07406810000247788,423.0,0.0,423.0,0.015635500007192604
100.0,50.0,58.0,0.2680521000002045,56.0,0.0236358999973163,76.0,0.011794399993959814,76.0,0.015730400002212264
100.0,50.0,62.0,0.30869150000216905,54.0,0.014504699996905401,78.0,0.009797499995329417,78.0,0.013812699995469302
100.0,50.0,67.0,0.2895667999982834,64.0,0.015502299997024238,89.0,0.010001399990869686,89.0,0.014704100001836196
100.0,50.0,69.0,0.38684740000462625,64.0,0.01590080000460148,88.0,0.009964199998648837,88.0,0.01548210000328254
100.0,50.0,70.0,0.3914260000019567,60.0,0.01631900000211317,89.0,0.010309600009350106,89.0,0.014639999993960373
100.0,50.0,60.0,0.34662520000711083,55.0,0.01472279999870807,84.0,0.009884699989925139,84.0,0.01479309999558609
100.0,50.0,65.0,0.31411880000086967,57.0,0.015952300003846176,81.0,0.010031800004071556,81.0,0.015185900003416464
100.0,50.0,63.0,0.2526075999921886,58.0,0.01685340001131408,84.0,0.010797800001455471,84.0,0.015305399996577762
100.0,50.0,68.0,0.41108589999203105,62.0,0.01623239999753423,89.0,0.010284399992087856,89.0,0.014776500000152737
100.0,50.0,60.0,0.32044820000010077,55.0,0.014520299999276176,80.0,0.009794900004635565,80.0,0.013543499997467734
200.0,50.0,95.0,0.4324246000032872,83.0,0.02999460000137333,170.0,0.010332699996070005,170.0,0.01493750000372529
200.0,50.0,104.0,0.7346885999868391,87.0,0.030597899996791966,170.0,0.010328399992431514,170.0,0.014432800002396107
200.0,50.0,105.0,0.5051711999985855,95.0,0.03089439999894239,169.0,0.010397000005468726,169.0,0.015262399989296682
200.0,50.0,92.0,0.6972342999943066,81.0,0.02943359999335371,166.0,0.010618599990266375,166.0,0.014546899998094887
200.0,50.0,98.0,0.5101827000034973,83.0,0.03289880001102574,156.0,0.011442699993494898,156.0,0.014950400000088848
200.0,50.0,97.0,0.47186459999647923,84.0,0.029500600008759648,168.0,0.010847099998500198,168.0,0.013950199994724244
200.0,50.0,102.0,0.3767179999995278,87.0,0.030760699999518692,172.0,0.012191600006190129,172.0,0.014527699997415766
200.0,50.0,101.0,0.7292252000042936,89.0,0.031911600002786145,165.0,0.0102230999909807,165.0,0.013975399997434579
