user,server,ilp_user,ilp_time,greedy_user,greedy_time,dqn_user,dqn_time,td3_user,td3_time,ddpg_user,ddpg_time
100.0,50.0,84.0,0.1066829000000098,84.0,0.016840100000081293,84.0,0.008401000000048953,84.0,0.013176499999985936,84.0,0.011767299999974057
100.0,50.0,74.0,0.11483429999998407,74.0,0.015508999999951811,74.0,0.008039699999926597,74.0,0.01135019999992437,74.0,0.01029520000008688
100.0,50.0,86.0,0.11314179999999396,86.0,0.015340600000058657,86.0,0.007819199999971715,86.0,0.011184899999989284,86.0,0.01024609999990389
100.0,50.0,87.0,0.12039229999993495,87.0,0.01673500000003969,87.0,0.00794260000009217,87.0,0.011784700000021076,87.0,0.011225800000033814
100.0,50.0,73.0,0.18873689999998078,73.0,0.01581029999999828,73.0,0.007969600000024002,73.0,0.012571999999977379,73.0,0.010192100000040227
100.0,50.0,85.0,0.1553258999999798,85.0,0.024097900000015215,85.0,0.00836370000001807,85.0,0.01202659999989919,85.0,0.01134639999997944
100.0,50.0,81.0,0.13230750000002445,81.0,0.016341900000043097,81.0,0.008049599999935708,81.0,0.010669500000062726,81.0,0.010754499999961808
100.0,50.0,89.0,0.11195929999996679,89.0,0.01675300000010793,89.0,0.00811640000006264,89.0,0.011377799999991112,89.0,0.010418300000083036
100.0,50.0,80.0,0.11981189999994513,80.0,0.015357400000084453,80.0,0.007900299999960225,80.0,0.011729999999943175,80.0,0.010521799999992254
100.0,50.0,77.0,0.11594319999994696,77.0,0.016870799999992414,77.0,0.008117099999935817,77.0,0.01122249999991709,77.0,0.010149500000011358
100.0,50.0,76.0,0.11837290000005396,76.0,0.014289299999973082,76.0,0.00802540000006502,76.0,0.011488799999938237,76.0,0.009400899999945977
100.0,50.0,76.0,0.11548430000004828,76.0,0.01592500000003838,76.0,0.007937399999946138,76.0,0.011217500000043401,76.0,0.01033570000004147
100.0,50.0,76.0,0.12046640000005482,76.0,0.015021600000068247,76.0,0.00833809999994628,76.0,0.01402219999999943,76.0,0.010570000000029722
100.0,50.0,81.0,0.11835030000008828,81.0,0.014749100000017279,81.0,0.008266400000024987,81.0,0.011258400000087931,81.0,0.010358100000075865
100.0,50.0,81.0,0.11925199999996039,81.0,0.015069799999992028,81.0,0.00804449999998269,81.0,0.011521600000037324,81.0,0.012160900000026231
100.0,50.0,84.0,0.11281710000002931,84.0,0.017321499999980006,84.0,0.008224499999982982,84.0,0.01153199999998833,84.0,0.009743800000023839
100.0,50.0,85.0,0.12109580000003461,85.0,0.014399300000036419,86.0,0.007971900000029564,86.0,0.011967200000071898,86.0,0.011980799999946612
100.0,50.0,89.0,0.11337720000005902,89.0,0.01603290000002744,89.0,0.008063099999958467,89.0,0.012010699999905228,89.0,0.010160899999959838
100.0,50.0,86.0,0.12122699999997621,86.0,0.018311000000039712,86.0,0.00800620000006802,86.0,0.011626800000044568,86.0,0.009810600000037084
100.0,50.0,69.0,0.11785789999998997,69.0,0.015213000000017018,69.0,0.007876000000010208,69.0,0.01106219999996938,69.0,0.010153299999956289
